"Australian","33515"
"Australian Aboriginal","114"
"Chinese","4140"
"Croatian","1007"
"Dutch","1635"
"English","30018"
"Filipino","937"
"French","501"
"German","3918"
"Greek","1279"
"Hungarian","432"
"Indian","1829"
"Irish","11303"
"Italian","2931"
"Korean","368"
"Lebanese","258"
"Macedonian","186"
"Maltese","309"
"Maori","198"
"New Zealander","652"
"Polish","1011"
"Russian","390"
"Scottish","8774"
"Serbian","349"
"Sinhalese","104"
"South African","285"
"Spanish","489"
"Turkish","104"
"Vietnamese","1235"
"Welsh","677"
"Total persons(c)","92445"
