"Australian","128457"
"Australian Aboriginal","697"
"Chinese","14910"
"Croatian","4502"
"Dutch","6407"
"English","116492"
"Filipino","3318"
"French","2142"
"German","15503"
"Greek","4549"
"Hungarian","1633"
"Indian","8052"
"Irish","44417"
"Italian","11604"
"Korean","1839"
"Lebanese","1147"
"Macedonian","912"
"Maltese","1469"
"Maori","921"
"New Zealander","2663"
"Polish","4026"
"Russian","1467"
"Scottish","34679"
"Serbian","1670"
"Sinhalese","642"
"South African","1295"
"Spanish","2242"
"Turkish","379"
"Vietnamese","4087"
"Welsh","2590"
"Total persons(c)","356589"
