"Australian","15332"
"Australian Aboriginal","111"
"Chinese","3196"
"Croatian","401"
"Dutch","859"
"English","15287"
"Filipino","281"
"French","346"
"German","2290"
"Greek","648"
"Hungarian","261"
"Indian","944"
"Irish","6600"
"Italian","1429"
"Korean","448"
"Lebanese","102"
"Macedonian","80"
"Maltese","172"
"Maori","79"
"New Zealander","404"
"Polish","592"
"Russian","243"
"Scottish","5096"
"Serbian","165"
"Sinhalese","86"
"South African","149"
"Spanish","232"
"Turkish","33"
"Vietnamese","606"
"Welsh","386"
"Total persons(c)","48033"
