"Australian","21273"
"Australian Aboriginal","157"
"Chinese","618"
"Croatian","607"
"Dutch","902"
"English","18696"
"Filipino","421"
"French","245"
"German","2356"
"Greek","535"
"Hungarian","248"
"Indian","553"
"Irish","6410"
"Italian","2190"
"Korean","52"
"Lebanese","101"
"Macedonian","1235"
"Maltese","361"
"Maori","275"
"New Zealander","401"
"Polish","508"
"Russian","172"
"Scottish","4970"
"Serbian","367"
"Sinhalese","25"
"South African","126"
"Spanish","208"
"Turkish","30"
"Vietnamese","103"
"Welsh","345"
"Total persons(c)","53512"
