"Australian","8083"
"Australian Aboriginal","39"
"Chinese","779"
"Croatian","258"
"Dutch","384"
"English","8344"
"Filipino","108"
"French","265"
"German","1057"
"Greek","461"
"Hungarian","123"
"Indian","454"
"Irish","3487"
"Italian","1006"
"Korean","170"
"Lebanese","38"
"Macedonian","57"
"Maltese","108"
"Maori","57"
"New Zealander","201"
"Polish","330"
"Russian","138"
"Scottish","2677"
"Serbian","117"
"Sinhalese","39"
"South African","97"
"Spanish","108"
"Turkish","53"
"Vietnamese","158"
"Welsh","177"
"Total persons(c)","24155"
