"Australian","35032"
"Australian Aboriginal","218"
"Chinese","1851"
"Croatian","1068"
"Dutch","1817"
"English","30274"
"Filipino","833"
"French","383"
"German","3924"
"Greek","786"
"Hungarian","385"
"Indian","1314"
"Irish","10579"
"Italian","2565"
"Korean","132"
"Lebanese","496"
"Macedonian","191"
"Maltese","498"
"Maori","295"
"New Zealander","624"
"Polish","1019"
"Russian","312"
"Scottish","8514"
"Serbian","486"
"Sinhalese","136"
"South African","313"
"Spanish","745"
"Turkish","56"
"Vietnamese","810"
"Welsh","593"
"Total persons(c)","86904"
