"Australian","9043"
"Australian Aboriginal","51"
"Chinese","515"
"Croatian","263"
"Dutch","447"
"English","8076"
"Filipino","116"
"French","188"
"German","1078"
"Greek","220"
"Hungarian","119"
"Indian","245"
"Irish","3322"
"Italian","769"
"Korean","43"
"Lebanese","52"
"Macedonian","48"
"Maltese","97"
"Maori","77"
"New Zealander","191"
"Polish","246"
"Russian","78"
"Scottish","2553"
"Serbian","84"
"Sinhalese","0"
"South African","82"
"Spanish","134"
"Turkish","18"
"Vietnamese","76"
"Welsh","195"
"Total persons(c)","22744"
