State,Region Type,Region,Time,Frequency,Country of Birth of Person,Sex,Value,Flags
"Australian Capital Territory","States and Territories","Australian Capital Territory","2011","Annual","Australia","Persons",255051,
"Australian Capital Territory","Statistical Area Level 4","Australian Capital Territory","2011","Annual","Australia","Persons",254620,
"Australian Capital Territory","Statistical Area Level 3","Belconnen","2011","Annual","Australia","Persons",65802,
"Australian Capital Territory","Statistical Area Level 2","Aranda","2011","Annual","Australia","Persons",1734,
"Australian Capital Territory","Statistical Area Level 2","Belconnen","2011","Annual","Australia","Persons",2277,
"Australian Capital Territory","Statistical Area Level 2","Bruce","2011","Annual","Australia","Persons",3426,
"Australian Capital Territory","Statistical Area Level 2","Charnwood","2011","Annual","Australia","Persons",2278,
"Australian Capital Territory","Statistical Area Level 2","Cook","2011","Annual","Australia","Persons",2040,
"Australian Capital Territory","Statistical Area Level 2","Dunlop","2011","Annual","Australia","Persons",5494,
"Australian Capital Territory","Statistical Area Level 2","Evatt","2011","Annual","Australia","Persons",4231,
"Australian Capital Territory","Statistical Area Level 2","Florey","2011","Annual","Australia","Persons",3380,
"Australian Capital Territory","Statistical Area Level 2","Flynn (ACT)","2011","Annual","Australia","Persons",2676,
"Australian Capital Territory","Statistical Area Level 2","Fraser","2011","Annual","Australia","Persons",1765,
"Australian Capital Territory","Statistical Area Level 2","Giralang","2011","Annual","Australia","Persons",2446,
"Australian Capital Territory","Statistical Area Level 2","Gooromon","2011","Annual","Australia","Persons",0,
"Australian Capital Territory","Statistical Area Level 2","Hawker","2011","Annual","Australia","Persons",2007,
"Australian Capital Territory","Statistical Area Level 2","Higgins","2011","Annual","Australia","Persons",2301,
"Australian Capital Territory","Statistical Area Level 2","Holt","2011","Annual","Australia","Persons",3590,
"Australian Capital Territory","Statistical Area Level 2","Kaleen","2011","Annual","Australia","Persons",5195,
"Australian Capital Territory","Statistical Area Level 2","Latham","2011","Annual","Australia","Persons",2794,
"Australian Capital Territory","Statistical Area Level 2","Lawson","2011","Annual","Australia","Persons",0,
"Australian Capital Territory","Statistical Area Level 2","Macgregor (ACT)","2011","Annual","Australia","Persons",4060,
"Australian Capital Territory","Statistical Area Level 2","Macquarie","2011","Annual","Australia","Persons",1742,
"Australian Capital Territory","Statistical Area Level 2","McKellar","2011","Annual","Australia","Persons",1929,
"Australian Capital Territory","Statistical Area Level 2","Melba","2011","Annual","Australia","Persons",2462,
"Australian Capital Territory","Statistical Area Level 2","Page","2011","Annual","Australia","Persons",2018,
"Australian Capital Territory","Statistical Area Level 2","Scullin","2011","Annual","Australia","Persons",2024,
"Australian Capital Territory","Statistical Area Level 2","Spence","2011","Annual","Australia","Persons",2018,
"Australian Capital Territory","Statistical Area Level 2","Weetangera","2011","Annual","Australia","Persons",1918,
"Australian Capital Territory","Statistical Area Level 3","Cotter - Namadgi","2011","Annual","Australia","Persons",431,
"Australian Capital Territory","Statistical Area Level 2","ACT - South West","2011","Annual","Australia","Persons",393,
"Australian Capital Territory","Statistical Area Level 2","Molonglo","2011","Annual","Australia","Persons",15,
"Australian Capital Territory","Statistical Area Level 2","Namadgi","2011","Annual","Australia","Persons",25,
"Australian Capital Territory","Statistical Area Level 3","Fyshwick - Pialligo - Hume","2011","Annual","Australia","Persons",1133,
"Australian Capital Territory","Statistical Area Level 2","ACT - East","2011","Annual","Australia","Persons",658,
"Australian Capital Territory","Statistical Area Level 2","Hume","2011","Annual","Australia","Persons",227,
"Australian Capital Territory","Statistical Area Level 2","Kowen","2011","Annual","Australia","Persons",35,
"Australian Capital Territory","Statistical Area Level 2","Majura","2011","Annual","Australia","Persons",207,
"Australian Capital Territory","Statistical Area Level 3","Gungahlin","2011","Annual","Australia","Persons",31957,
"Australian Capital Territory","Statistical Area Level 2","Amaroo","2011","Annual","Australia","Persons",4235,
"Australian Capital Territory","Statistical Area Level 2","Bonner","2011","Annual","Australia","Persons",920,
"Australian Capital Territory","Statistical Area Level 2","Casey","2011","Annual","Australia","Persons",1058,
"Australian Capital Territory","Statistical Area Level 2","Crace","2011","Annual","Australia","Persons",359,
"Australian Capital Territory","Statistical Area Level 2","Forde","2011","Annual","Australia","Persons",1617,
"Australian Capital Territory","Statistical Area Level 2","Franklin","2011","Annual","Australia","Persons",2037,
"Australian Capital Territory","Statistical Area Level 2","Gungahlin","2011","Annual","Australia","Persons",3307,
"Australian Capital Territory","Statistical Area Level 2","Gungahlin - East","2011","Annual","Australia","Persons",31,
"Australian Capital Territory","Statistical Area Level 2","Gungahlin - West","2011","Annual","Australia","Persons",0,
"Australian Capital Territory","Statistical Area Level 2","Hall","2011","Annual","Australia","Persons",272,
"Australian Capital Territory","Statistical Area Level 2","Harrison","2011","Annual","Australia","Persons",2894,
"Australian Capital Territory","Statistical Area Level 2","Mitchell","2011","Annual","Australia","Persons",3,
"Australian Capital Territory","Statistical Area Level 2","Ngunnawal","2011","Annual","Australia","Persons",6556,
"Australian Capital Territory","Statistical Area Level 2","Nicholls","2011","Annual","Australia","Persons",4897,
"Australian Capital Territory","Statistical Area Level 2","Palmerston","2011","Annual","Australia","Persons",3764,
"Australian Capital Territory","Statistical Area Level 3","North Canberra","2011","Annual","Australia","Persons",31194,
"Australian Capital Territory","Statistical Area Level 2","Acton","2011","Annual","Australia","Persons",785,
"Australian Capital Territory","Statistical Area Level 2","Ainslie","2011","Annual","Australia","Persons",3640,
"Australian Capital Territory","Statistical Area Level 2","Braddon","2011","Annual","Australia","Persons",2445,
"Australian Capital Territory","Statistical Area Level 2","Campbell","2011","Annual","Australia","Persons",3755,
"Australian Capital Territory","Statistical Area Level 2","Civic","2011","Annual","Australia","Persons",1093,
"Australian Capital Territory","Statistical Area Level 2","Dickson","2011","Annual","Australia","Persons",1451,
"Australian Capital Territory","Statistical Area Level 2","Downer","2011","Annual","Australia","Persons",2401,
"Australian Capital Territory","Statistical Area Level 2","Hackett","2011","Annual","Australia","Persons",2218,
"Australian Capital Territory","Statistical Area Level 2","Lyneham","2011","Annual","Australia","Persons",2877,
"Australian Capital Territory","Statistical Area Level 2","O'Connor (ACT)","2011","Annual","Australia","Persons",3757,
"Australian Capital Territory","Statistical Area Level 2","Reid","2011","Annual","Australia","Persons",973,
"Australian Capital Territory","Statistical Area Level 2","Turner","2011","Annual","Australia","Persons",2218,
"Australian Capital Territory","Statistical Area Level 2","Watson","2011","Annual","Australia","Persons",3579,
"Australian Capital Territory","Statistical Area Level 3","South Canberra","2011","Annual","Australia","Persons",16996,
"Australian Capital Territory","Statistical Area Level 2","Deakin","2011","Annual","Australia","Persons",2007,
"Australian Capital Territory","Statistical Area Level 2","Forrest","2011","Annual","Australia","Persons",1048,
"Australian Capital Territory","Statistical Area Level 2","Griffith (ACT)","2011","Annual","Australia","Persons",2768,
"Australian Capital Territory","Statistical Area Level 2","Kingston - Barton","2011","Annual","Australia","Persons",2714,
"Australian Capital Territory","Statistical Area Level 2","Lake Burley Griffin","2011","Annual","Australia","Persons",0,
"Australian Capital Territory","Statistical Area Level 2","Narrabundah","2011","Annual","Australia","Persons",4039,
"Australian Capital Territory","Statistical Area Level 2","Parkes (ACT)","2011","Annual","Australia","Persons",0,
"Australian Capital Territory","Statistical Area Level 2","Red Hill (ACT)","2011","Annual","Australia","Persons",2301,
"Australian Capital Territory","Statistical Area Level 2","Yarralumla","2011","Annual","Australia","Persons",2110,
"Australian Capital Territory","Statistical Area Level 3","Tuggeranong","2011","Annual","Australia","Persons",67553,
"Australian Capital Territory","Statistical Area Level 2","Banks","2011","Annual","Australia","Persons",3901,
"Australian Capital Territory","Statistical Area Level 2","Bonython","2011","Annual","Australia","Persons",2800,
"Australian Capital Territory","Statistical Area Level 2","Calwell","2011","Annual","Australia","Persons",4678,
"Australian Capital Territory","Statistical Area Level 2","Chisholm","2011","Annual","Australia","Persons",4279,
"Australian Capital Territory","Statistical Area Level 2","Conder","2011","Annual","Australia","Persons",4155,
"Australian Capital Territory","Statistical Area Level 2","Fadden","2011","Annual","Australia","Persons",2356,
