"Bosnia and Herzegovina",111
"Cambodia",114
"Canada",239
"China",2160
"Croatia",420
"Egypt",61
"Fiji",232
"Former Yugoslav Republic of Macedonia (FYROM)",98
"Germany",609
"Greece",339
"Hong Kong",366
"India",1286
"Indonesia",271
"Iraq",72
"Ireland",192
"Italy",607
"Japan",161
"Republic of Korea",310
"Lebanon",80
"Malaysia",463
"Malta",61
"Netherlands",287
"New Zealand",972
"Philippines",657
"Poland",212
"Singapore",170
"South Africa",328
"Sri Lanka",434
"Thailand",216
"Turkey",59
"United Kingdom",3884
"United States of America",571
"Vietnam",930
"Total",26642
