"Bosnia and Herzegovina",352
"Cambodia",329
"Canada",1083
"China",6589
"Croatia",1467
"Egypt",310
"Fiji",810
"Former Yugoslav Republic of Macedonia (FYROM)",372
"Germany",2331
"Greece",1060
"Hong Kong",1390
"India",5885
"Indonesia",1015
"Iraq",323
"Ireland",844
"Italy",2035
"Japan",665
"Republic of Korea",1561
"Lebanon",385
"Malaysia",2207
"Malta",306
"Netherlands",1120
"New Zealand",4389
"Philippines",2424
"Poland",1023
"Singapore",918
"South Africa",1632
"Sri Lanka",2267
"Thailand",1047
"Turkey",215
"United Kingdom",16112
"United States of America",2414
"Vietnam",2956
"Total",102171
