"Bosnia and Herzegovina",37
"Cambodia",67
"Canada",232
"China",1491
"Croatia",108
"Egypt",34
"Fiji",97
"Former Yugoslav Republic of Macedonia (FYROM)",40
"Germany",378
"Greece",179
"Hong Kong",284
"India",673
"Indonesia",255
"Iraq",21
"Ireland",148
"Italy",257
"Japan",142
"Republic of Korea",393
"Lebanon",24
"Malaysia",583
"Malta",23
"Netherlands",177
"New Zealand",690
"Philippines",232
"Poland",161
"Singapore",301
"South Africa",168
"Sri Lanka",183
"Thailand",192
"Turkey",26
"United Kingdom",2087
"United States of America",477
"Vietnam",460
"Total",16835
