"Bosnia and Herzegovina",76
"Cambodia",57
"Canada",129
"China",1609
"Croatia",333
"Egypt",86
"Fiji",202
"Former Yugoslav Republic of Macedonia (FYROM)",93
"Germany",181
"Greece",68
"Hong Kong",276
"India",1475
"Indonesia",109
"Iraq",31
"Ireland",85
"Italy",178
"Japan",80
"Republic of Korea",431
"Lebanon",27
"Malaysia",294
"Malta",18
"Netherlands",86
"New Zealand",569
"Philippines",472
"Poland",107
"Singapore",132
"South Africa",379
"Sri Lanka",634
"Thailand",153
"Turkey",25
"United Kingdom",1538
"United States of America",281
"Vietnam",727
"Total",15345
