"Bosnia and Herzegovina",78
"Cambodia",55
"Canada",181
"China",478
"Croatia",319
"Egypt",70
"Fiji",137
"Former Yugoslav Republic of Macedonia (FYROM)",60
"Germany",491
"Greece",166
"Hong Kong",187
"India",905
"Indonesia",119
"Iraq",120
"Ireland",150
"Italy",345
"Japan",79
"Republic of Korea",103
"Lebanon",202
"Malaysia",353
"Malta",95
"Netherlands",283
"New Zealand",1005
"Philippines",590
"Poland",260
"Singapore",141
"South Africa",301
"Sri Lanka",474
"Thailand",243
"Turkey",22
"United Kingdom",3992
"United States of America",397
"Vietnam",542
"Total",19346
