"Bosnia and Herzegovina",19
"Cambodia",9
"Canada",65
"China",187
"Croatia",108
"Egypt",14
"Fiji",25
"Former Yugoslav Republic of Macedonia (FYROM)",20
"Germany",192
"Greece",71
"Hong Kong",49
"India",210
"Indonesia",59
"Iraq",10
"Ireland",71
"Italy",178
"Japan",44
"Republic of Korea",32
"Lebanon",9
"Malaysia",110
"Malta",37
"Netherlands",89
"New Zealand",266
"Philippines",84
"Poland",72
"Singapore",27
"South Africa",128
"Sri Lanka",61
"Thailand",75
"Turkey",9
"United Kingdom",1287
"United States of America",156
"Vietnam",45
"Total",5553
