"Bosnia and Herzegovina",51
Cambodia",14
"Canada",113
"China",201
"Croatia",214
"Egypt",40
"Fiji",144
"Former Yugoslav Republic of Macedonia (FYROM)",559
"Germany",323
"Greece",175
"Hong Kong",39
"India",490
"Indonesia",93
"Iraq",15
"Ireland",91
"Italy",448
"Japan",20
"Republic of Korea",43
"Lebanon",15
"Malaysia",120
"Malta",86
"Netherlands",144
"New Zealand",824
"Philippines",325
"Poland",120
"Singapore",44
"South Africa",164
"Sri Lanka",81
"Thailand",69
"Turkey",15
"United Kingdom",2141
"United States of America",277
"Vietnam",77
"Total",12198
