"Bosnia and Herzegovina",12
"Cambodia",14
"Canada",113
"China",203
"Croatia",57
"Egypt",19
"Fiji",40
"Former Yugoslav Republic of Macedonia (FYROM)",23
"Germany",185
"Greece",76
"Hong Kong",91
"India",307
"Indonesia",45
"Iraq",27
"Ireland",73
"Italy",206
"Japan",79
"Republic of Korea",143
"Lebanon",10
"Malaysia",146
"Malta",30
"Netherlands",84
"New Zealand",367
"Philippines",77
"Poland",95
"Singapore",54
"South Africa",152
"Sri Lanka",128
"Thailand",50
"Turkey",31
"United Kingdom",1362
"United States of America",257
"Vietnam",102
"Total",7158
