"Bosnia and Herzegovina",19
"Cambodia",14
"Canada",116
"China",440
"Croatia",115
"Egypt",24
"Fiji",78
"Former Yugoslav Republic of Macedonia (FYROM)",38
"Germany",284
"Greece",152
"Hong Kong",137
"India",1017
"Indonesia",157
"Iraq",40
"Ireland",122
"Italy",263
"Japan",77
"Republic of Korea",145
"Lebanon",33
"Malaysia",247
"Malta",39
"Netherlands",105
"New Zealand",462
"Philippines",282
"Poland",116
"Singapore",86
"South Africa",165
"Sri Lanka",351
"Thailand",110
"Turkey",42
"United Kingdom",1844
"United States of America",252
"Vietnam",147
"Total",10601
